surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,cp_data,lesion_1_site,lesion_1_type,lesion_1_subtype,lesion_1_specific,num_lesions
no,adult,37.5,48.0,16.0,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,none,none,5.0,normal,distend_large,37.0,6.5,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,38.9,80.0,44.0,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,7.0,decreased,normal,54.0,6.5,serosanguious,2.3,died,yes,no,7,1,1,1,1
no,adult,37.2,84.0,48.0,cool,reduced,bright_red,more_3_sec,severe_pain,hypermotile,slight,none,less_1_liter,5.0,increased,normal,73.0,5.5,cloudy,4.1,died,no,yes,4,3,0,0,1
no,adult,38.6,46.0,25.0,normal,normal,bright_pink,less_3_sec,alert,hypomotile,slight,none,none,5.0,decreased,distend_large,49.0,9.1,clear,1.6,lived,no,yes,3,1,1,1,1
yes,adult,37.4,84.0,36.0,normal,normal,pale_pink,more_3_sec,mild_pain,hypomotile,slight,slight,none,5.0,absent,distend_large,45.0,7.5,serosanguious,2.3,died,yes,yes,7,2,0,9,1
no,adult,38.2,64.0,25.0,normal,normal,pale_pink,less_3_sec,alert,hypomotile,none,slight,none,5.0,increased,distend_large,43.0,7.7,nan,2.3,lived,no,no,3,1,1,1,1
no,adult,38.6,40.0,20.0,cool,normal,nan,less_3_sec,nan,nan,slight,slight,none,5.0,decreased,distend_large,41.0,6.4,nan,2.3,lived,no,yes,3,1,1,1,1
no,adult,40.3,114.0,36.0,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,7.0,normal,distend_large,57.0,8.1,serosanguious,4.5,euthanized,yes,yes,7,4,0,0,1
yes,young,38.6,160.0,20.0,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,severe,significant,none,5.0,absent,distend_large,38.0,7.5,cloudy,2.3,died,yes,yes,7,1,1,1,1
yes,adult,38.2,64.0,25.0,cool,normal,nan,nan,nan,nan,slight,slight,none,5.0,decreased,distend_large,24.0,6.7,nan,2.3,lived,yes,no,3,1,1,2,1
yes,adult,38.2,64.0,36.0,warm,normal,bright_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,5.0,decreased,distend_large,42.0,7.7,nan,2.3,died,yes,no,3,2,0,9,1
yes,adult,38.2,64.0,20.0,cool,reduced,pale_pink,nan,extreme_pain,absent,moderate,slight,none,5.0,absent,distend_small,53.0,5.9,serosanguious,2.3,died,yes,yes,3,2,0,5,1
no,adult,38.2,96.0,25.0,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,none,less_1_liter,5.0,absent,distend_large,60.0,7.5,nan,2.3,died,yes,no,4,2,0,5,1
no,adult,37.8,48.0,32.0,normal,normal,pale_pink,less_3_sec,depressed,hypermotile,slight,none,none,5.0,absent,distend_large,37.0,6.7,nan,2.3,lived,no,no,2,1,2,4,1
no,adult,38.5,60.0,25.0,warm,normal,normal_pink,less_3_sec,alert,normal,slight,slight,none,5.0,normal,normal,44.0,7.7,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,37.8,88.0,22.0,warm,normal,bright_pink,less_3_sec,mild_pain,nan,slight,slight,none,5.0,absent,distend_large,64.0,8.0,clear,6.0,died,yes,yes,3,2,0,5,1
no,adult,38.2,130.0,16.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,none,none,5.0,decreased,distend_large,65.0,82.0,cloudy,2.0,euthanized,no,no,2,2,0,9,1
yes,adult,39.0,64.0,36.0,cool,normal,pale_cyanotic,more_3_sec,mild_pain,hypomotile,slight,none,less_1_liter,7.0,absent,distend_large,44.0,7.5,serosanguious,5.0,lived,yes,yes,2,1,1,3,1
yes,adult,38.2,60.0,36.0,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,5.0,decreased,distend_small,26.0,72.0,cloudy,1.0,lived,yes,no,2,2,0,8,1
no,adult,37.9,72.0,25.0,normal,normal,bright_red,more_3_sec,mild_pain,hypomotile,none,none,more_1_liter,2.0,decreased,distend_small,58.0,74.0,clear,2.0,lived,yes,no,2,3,2,2,1
no,adult,38.4,54.0,24.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,5.0,decreased,distend_large,49.0,7.2,clear,2.3,lived,no,yes,3,1,1,1,1
no,adult,38.2,52.0,16.0,normal,normal,pale_pink,less_3_sec,nan,nan,slight,slight,more_1_liter,5.5,decreased,distend_large,55.0,7.2,nan,2.3,lived,no,no,2,1,2,4,1
no,adult,38.0,48.0,12.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,slight,none,none,5.0,decreased,distend_large,42.0,6.3,cloudy,4.1,lived,no,yes,3,1,1,1,1
no,adult,37.0,60.0,20.0,cool,normal,nan,less_3_sec,mild_pain,nan,moderate,slight,less_1_liter,4.5,absent,distend_small,43.0,7.6,nan,2.3,euthanized,yes,yes,2,2,0,9,1
yes,adult,37.8,48.0,28.0,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,none,5.0,normal,normal,46.0,5.9,cloudy,7.0,lived,no,yes,0,0,0,0,0
yes,adult,37.7,56.0,25.0,cool,normal,nan,nan,nan,nan,slight,slight,none,5.0,decreased,distend_large,45.0,7.5,nan,2.3,died,yes,no,2,1,1,3,1
yes,adult,38.1,52.0,24.0,normal,normal,bright_red,less_3_sec,severe_pain,hypomotile,none,slight,more_1_liter,7.0,normal,distend_large,54.0,7.5,cloudy,2.6,died,yes,yes,2,1,1,2,1
yes,young,38.2,64.0,25.0,cool,normal,nan,nan,nan,nan,slight,slight,none,5.0,decreased,distend_large,37.0,4.9,nan,2.3,died,yes,no,11,1,2,4,1
yes,young,39.7,100.0,25.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,slight,slight,none,5.0,decreased,distend_large,48.0,57.0,cloudy,2.0,euthanized,yes,no,1,4,0,0,1
yes,adult,37.6,38.0,20.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,5.0,decreased,distend_large,37.0,68.0,nan,2.3,lived,yes,no,3,2,0,5,1
no,adult,38.7,52.0,20.0,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,none,none,5.0,normal,normal,33.0,77.0,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,38.2,64.0,25.0,cool,reduced,pale_pink,3,extreme_pain,hypomotile,moderate,significant,less_1_liter,5.0,absent,distend_large,46.0,5.9,nan,2.3,died,yes,no,3,0,2,5,1
yes,adult,37.5,96.0,18.0,normal,reduced,dark_cyanotic,more_3_sec,mild_pain,absent,slight,slight,more_1_liter,5.0,decreased,distend_small,69.0,8.9,serosanguious,2.3,lived,yes,yes,2,2,0,8,1
yes,adult,36.4,98.0,35.0,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,hypomotile,slight,slight,none,5.0,absent,distend_small,47.0,6.4,serosanguious,3.6,died,yes,yes,2,2,0,5,1
yes,adult,37.3,40.0,25.0,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,slight,significant,none,5.0,decreased,distend_large,36.0,7.5,serosanguious,2.0,lived,yes,no,3,1,1,1,1
yes,young,38.1,100.0,80.0,cool,normal,bright_pink,less_3_sec,mild_pain,absent,none,slight,none,5.0,normal,distend_large,36.0,5.7,nan,2.3,lived,yes,no,3,1,1,1,1
yes,adult,38.0,64.0,24.0,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,nan,severe,none,none,5.0,decreased,distend_large,68.0,7.8,nan,2.3,died,yes,no,3,2,0,5,1
yes,adult,37.8,60.0,80.0,normal,reduced,bright_pink,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,5.5,absent,distend_large,40.0,4.5,cloudy,2.3,lived,yes,yes,5,2,0,6,1
no,adult,38.0,54.0,30.0,warm,reduced,pale_pink,3,mild_pain,hypermotile,slight,slight,less_1_liter,5.0,decreased,distend_small,45.0,6.2,nan,2.3,lived,no,no,4,0,0,0,1
yes,adult,38.2,88.0,40.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,significant,none,5.0,absent,distend_large,50.0,7.7,serosanguious,1.4,died,yes,yes,4,2,0,5,1
no,adult,38.2,40.0,16.0,cool,normal,nan,less_3_sec,nan,nan,slight,slight,none,5.0,decreased,distend_large,50.0,7.0,cloudy,3.9,euthanized,yes,yes,2,2,0,8,1
no,adult,39.0,64.0,40.0,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,none,5.0,decreased,distend_large,42.0,7.5,cloudy,2.3,lived,no,yes,5,0,0,0,1
no,adult,38.3,42.0,10.0,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,5.0,decreased,distend_large,38.0,61.0,nan,2.3,lived,no,no,0,0,0,0,0
no,adult,38.0,52.0,16.0,cool,normal,nan,nan,depressed,nan,slight,slight,more_1_liter,1.0,normal,normal,53.0,86.0,nan,2.3,lived,yes,no,2,3,2,2,1
no,adult,40.3,114.0,36.0,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,7.0,normal,distend_large,57.0,8.1,serosanguious,4.5,died,yes,yes,3,2,0,5,1
no,adult,38.8,50.0,20.0,cool,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,5.0,decreased,normal,42.0,6.2,nan,2.3,lived,no,no,0,0,0,0,0
no,adult,38.2,64.0,25.0,cool,reduced,normal_pink,less_3_sec,extreme_pain,hypomotile,moderate,none,none,5.0,absent,distend_large,38.0,6.5,nan,2.3,died,yes,no,3,2,0,5,1
no,adult,37.5,48.0,30.0,cool,normal,pale_pink,less_3_sec,nan,normal,none,none,none,5.0,normal,normal,48.0,8.6,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,37.3,48.0,20.0,cool,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,5.0,decreased,distend_large,41.0,69.0,nan,2.3,lived,yes,no,3,2,0,5,1
no,adult,38.2,84.0,36.0,cool,normal,pale_pink,less_3_sec,nan,hypomotile,none,slight,none,5.0,decreased,distend_large,44.0,8.5,nan,2.3,lived,yes,no,3,1,1,1,1
yes,adult,38.1,88.0,32.0,cool,reduced,pale_cyanotic,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,1.0,absent,distend_large,55.0,60.0,nan,2.3,euthanized,no,no,3,2,0,5,1
no,adult,37.7,44.0,40.0,warm,normal,pale_pink,less_3_sec,alert,hypomotile,slight,none,none,5.0,normal,distend_large,41.0,60.0,nan,2.3,lived,no,no,0,0,0,0,0
no,adult,39.6,108.0,51.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,none,less_1_liter,5.0,decreased,distend_large,59.0,8.0,cloudy,2.6,lived,no,yes,4,3,0,0,1
yes,adult,38.2,40.0,16.0,cool,reduced,normal_pink,less_3_sec,alert,hypomotile,slight,slight,none,5.0,normal,normal,34.0,66.0,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,38.2,60.0,20.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,slight,slight,none,5.0,absent,distend_large,45.0,7.5,nan,2.3,euthanized,yes,no,3,2,0,5,1
no,adult,38.3,40.0,16.0,cool,normal,normal_pink,less_3_sec,depressed,nan,slight,slight,none,5.0,decreased,distend_large,37.0,57.0,nan,2.3,lived,no,no,0,0,0,0,0
yes,young,38.0,140.0,68.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,5.0,increased,normal,39.0,5.3,nan,2.3,lived,yes,no,7,1,1,1,1
yes,adult,37.8,52.0,24.0,normal,reduced,pale_pink,less_3_sec,severe_pain,absent,none,slight,more_1_liter,5.7,increased,distend_large,48.0,6.6,clear,3.7,died,yes,no,5,4,0,0,1
yes,adult,38.2,70.0,36.0,normal,normal,pale_pink,more_3_sec,depressed,hypomotile,slight,slight,none,5.0,absent,distend_large,36.0,7.3,nan,2.3,lived,yes,no,3,1,1,10,1
yes,adult,38.3,52.0,96.0,cool,reduced,pale_pink,less_3_sec,nan,nan,slight,none,none,5.0,normal,distend_large,43.0,6.1,nan,2.3,lived,yes,yes,3,2,0,9,1
no,adult,37.3,50.0,32.0,normal,normal,pale_pink,less_3_sec,alert,hypomotile,slight,slight,none,5.0,normal,distend_large,44.0,7.0,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,38.7,60.0,32.0,cool,reduced,bright_pink,more_3_sec,severe_pain,absent,severe,slight,none,5.0,absent,distend_large,53.0,64.0,serosanguious,2.0,euthanized,yes,no,3,2,0,5,1
yes,young,38.4,84.0,40.0,cool,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,none,none,5.0,decreased,distend_large,36.0,6.6,cloudy,2.8,died,yes,yes,2,2,0,5,1
yes,adult,38.2,70.0,16.0,cool,absent,bright_red,more_3_sec,depressed,hypomotile,slight,slight,none,5.0,absent,distend_large,60.0,7.5,nan,2.3,died,yes,no,2,1,1,2,1
yes,adult,38.3,40.0,16.0,cool,normal,nan,less_3_sec,alert,hypomotile,slight,slight,none,5.0,decreased,distend_large,38.0,58.0,clear,2.0,lived,yes,no,3,1,1,1,1
yes,adult,38.2,40.0,25.0,warm,normal,normal_pink,less_3_sec,alert,hypomotile,none,none,none,5.0,decreased,distend_large,39.0,56.0,nan,2.3,lived,yes,no,3,1,1,1,1
yes,adult,36.8,60.0,28.0,cool,normal,nan,nan,nan,nan,slight,slight,none,5.0,decreased,distend_large,45.0,7.5,nan,10.0,died,yes,yes,3,2,0,5,1
yes,adult,38.4,44.0,24.0,cool,normal,pale_cyanotic,nan,extreme_pain,absent,moderate,slight,none,5.0,absent,distend_large,50.0,77.0,nan,2.3,lived,yes,no,3,2,0,5,1
no,adult,38.2,64.0,40.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,5.0,decreased,distend_large,45.0,70.0,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,38.0,44.0,12.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,5.0,absent,distend_large,42.0,65.0,nan,2.3,lived,yes,no,3,2,0,5,1
no,adult,39.5,64.0,25.0,cool,reduced,pale_cyanotic,more_3_sec,mild_pain,absent,moderate,slight,more_1_liter,5.5,absent,distend_large,45.0,6.7,clear,2.3,euthanized,yes,no,4,2,0,5,1
yes,adult,36.5,78.0,30.0,normal,normal,normal_pink,less_3_sec,extreme_pain,hypomotile,none,slight,none,5.0,decreased,distend_large,34.0,75.0,cloudy,1.0,lived,yes,no,3,1,1,2,1
no,adult,38.1,56.0,20.0,warm,normal,bright_pink,less_3_sec,alert,hypomotile,none,none,none,5.0,decreased,distend_large,46.0,70.0,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,39.4,54.0,66.0,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,slight,none,none,5.0,decreased,distend_small,39.0,6.0,cloudy,2.3,lived,yes,yes,2,2,0,6,1
yes,adult,38.3,80.0,40.0,cool,normal,dark_cyanotic,more_3_sec,severe_pain,hypomotile,none,slight,less_1_liter,5.0,normal,distend_small,67.0,10.2,cloudy,1.0,euthanized,yes,no,2,2,0,8,1
no,adult,38.7,40.0,28.0,warm,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,slight,none,5.0,normal,distend_large,39.0,62.0,clear,1.0,lived,no,no,0,0,0,0,0
yes,adult,38.2,64.0,24.0,normal,normal,pale_pink,less_3_sec,severe_pain,absent,moderate,slight,none,5.0,absent,distend_small,45.0,7.5,clear,2.0,died,yes,yes,3,2,0,5,1
no,adult,37.6,48.0,20.0,cool,normal,pale_cyanotic,less_3_sec,alert,hypermotile,moderate,slight,none,5.0,normal,normal,37.0,5.5,nan,2.3,euthanized,yes,no,2,2,0,5,1
yes,adult,38.0,42.0,68.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,5.0,absent,distend_small,41.0,7.6,nan,2.3,lived,yes,no,2,2,0,5,1
yes,adult,38.7,64.0,25.0,cool,normal,pale_pink,less_3_sec,extreme_pain,absent,slight,slight,none,5.0,decreased,distend_large,33.0,6.5,cloudy,2.3,lived,yes,no,3,1,1,10,1
yes,adult,37.4,50.0,32.0,cool,reduced,nan,less_3_sec,severe_pain,absent,none,slight,none,5.0,normal,distend_large,45.0,7.9,cloudy,1.0,lived,yes,yes,2,2,0,8,1
yes,adult,37.4,84.0,20.0,cool,normal,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,5.0,decreased,distend_large,31.0,61.0,nan,1.0,euthanized,no,no,2,2,0,8,1
yes,adult,38.4,49.0,25.0,cool,normal,normal_pink,less_3_sec,nan,nan,none,slight,none,5.0,decreased,distend_large,44.0,7.6,nan,2.3,lived,yes,no,2,2,0,6,1
yes,adult,37.8,30.0,12.0,cool,normal,nan,nan,nan,nan,slight,slight,none,5.0,decreased,distend_large,45.0,7.5,nan,2.3,died,yes,no,2,1,1,3,1
no,adult,37.6,88.0,36.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,1.5,decreased,distend_large,44.0,6.0,nan,2.3,died,yes,no,1,4,0,0,1
no,adult,37.9,40.0,24.0,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,none,slight,none,5.0,decreased,distend_large,40.0,5.7,nan,2.3,lived,yes,no,4,0,0,0,1
yes,adult,38.2,100.0,25.0,cool,normal,pale_cyanotic,more_3_sec,extreme_pain,absent,slight,slight,none,5.0,increased,distend_large,59.0,6.3,nan,2.3,died,yes,no,4,2,0,5,1
